Rk,Team,Date,SCA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
33,Juventus,2025-03-03,48,,Hellas Verona,it Serie A,W 2-0,2,0,+2,75,2,0,0,0,48,35,3,5,4,1,0,Match Report
34,Marseille,2025-02-15,47,,Saint-Étienne,fr Ligue 1,W 5-1,5,1,+4,70,4,1,1,0,47,31,4,2,9,0,1,Match Report
35,Leverkusen,2024-08-31,47,,RB Leipzig,de Bundesliga,L 2-3,2,3,-1,62,2,0,0,0,47,34,5,3,4,1,0,Match Report
36,Paris S-G,2024-11-09,47,@,Angers,fr Ligue 1,W 4-2,4,2,+2,70,4,0,0,0,47,36,2,3,5,0,1,Match Report
37,Lens,2025-01-12,47,@,Le Havre,fr Ligue 1,W 2-1,2,1,+1,69,2,0,0,0,47,32,5,2,6,2,0,Match Report
38,Monaco,2025-01-17,47,@,Montpellier,fr Ligue 1,L 1-2,1,2,-1,67,1,0,0,0,47,32,5,3,6,0,1,Match Report
39,Fulham,2024-11-04,47,,Brentford,eng Premier League,W 2-1,2,1,+1,68,2,0,0,0,47,34,3,4,4,0,2,Match Report
40,Bayern Munich,2025-01-18,46,,Wolfsburg,de Bundesliga,W 3-2,3,2,+1,71,3,0,0,0,46,32,4,6,1,3,0,Match Report
41,Stuttgart,2024-08-31,46,,Mainz 05,de Bundesliga,D 3-3,3,3,0,63,3,0,0,0,46,35,2,1,7,1,0,Match Report
42,Lazio,2025-02-09,46,,Monza,it Serie A,W 5-1,5,1,+4,61,5,0,0,0,46,41,1,2,2,0,0,Match Report
43,Liverpool,2024-11-24,46,@,Southampton,eng Premier League,W 3-2,3,2,+1,62,2,1,1,0,46,35,2,1,3,1,4,Match Report
44,Dortmund,2025-03-15,46,@,RB Leipzig,de Bundesliga,L 0-2,0,2,-2,66,0,0,0,0,46,35,3,4,3,1,0,Match Report
45,Chelsea,2024-12-04,46,@,Southampton,eng Premier League,W 5-1,5,1,+4,55,5,0,0,0,46,35,1,1,6,1,2,Match Report
46,Milan,2024-08-17,46,,Torino,it Serie A,D 2-2,2,2,0,56,2,0,0,0,46,30,6,3,6,1,0,Match Report
47,Juventus,2024-10-30,46,,Parma,it Serie A,D 2-2,2,2,0,61,2,0,0,0,46,35,3,4,2,0,2,Match Report
48,Como,2024-09-29,45,,Hellas Verona,it Serie A,W 3-2,3,2,+1,71,3,0,0,0,45,37,3,2,2,1,0,Match Report
49,Real Madrid,2025-03-29,45,,Leganés,es La Liga,W 3-2,3,2,+1,70,2,1,1,0,45,35,2,3,3,2,0,Match Report
50,Aston Villa,2025-02-15,45,,Ipswich Town,eng Premier League,D 1-1,1,1,0,75,1,0,0,0,45,32,7,4,1,1,0,Match Report
51,Dortmund,2024-09-27,45,,Bochum,de Bundesliga,W 4-2,4,2,+2,66,3,1,1,0,45,35,3,5,1,1,0,Match Report
52,Leverkusen,2024-08-23,45,@,Gladbach,de Bundesliga,W 3-2,3,2,+1,57,3,0,1,1,45,34,1,2,4,2,2,Match Report
53,Chelsea,2024-12-15,45,,Brentford,eng Premier League,W 2-1,2,1,+1,62,2,0,0,0,45,35,2,1,4,1,2,Match Report
54,Atlético Madrid,2024-08-28,45,,Espanyol,es La Liga,D 0-0,0,0,0,63,0,0,0,0,45,38,4,0,3,0,0,Match Report
55,Paris S-G,2025-03-01,45,,Lille,fr Ligue 1,W 4-1,4,1,+3,58,4,0,0,0,45,34,4,2,3,1,1,Match Report
56,Paris S-G,2024-12-06,45,@,Auxerre,fr Ligue 1,D 0-0,0,0,0,73,0,0,0,0,45,37,4,2,1,1,0,Match Report
57,Betis,2025-02-16,45,,Real Sociedad,es La Liga,W 3-0,3,0,+3,68,3,0,1,1,45,34,3,1,1,5,1,Match Report
58,Bayern Munich,2024-10-06,44,@,Eint Frankfurt,de Bundesliga,D 3-3,3,3,0,74,3,0,0,0,44,34,2,1,5,2,0,Match Report
59,Real Madrid,2024-08-29,44,@,Las Palmas,es La Liga,D 1-1,1,1,0,57,0,1,1,0,44,30,3,5,5,0,1,Match Report
60,St. Pauli,2025-04-06,44,,Gladbach,de Bundesliga,D 1-1,1,1,0,63,1,0,0,0,44,33,5,1,3,2,0,Match Report
61,Girona,2024-12-20,44,,Valladolid,es La Liga,W 3-0,3,0,+3,70,3,0,0,0,44,36,1,1,4,2,0,Match Report
62,Freiburg,2025-03-15,44,@,Mainz 05,de Bundesliga,D 2-2,2,2,0,56,2,0,0,0,44,31,7,2,4,0,0,Match Report
63,Sevilla,2025-01-25,44,,Espanyol,es La Liga,D 1-1,1,1,0,74,1,0,0,0,44,31,3,1,5,2,2,Match Report
64,Manchester City,2024-11-23,44,,Tottenham,eng Premier League,L 0-4,0,4,-4,58,0,0,0,0,44,36,2,6,0,0,0,Match Report
65,Milan,2025-02-22,44,@,Torino,it Serie A,L 1-2,1,2,-1,64,1,0,1,1,44,36,2,1,4,1,0,Match Report
66,Milan,2025-01-11,44,,Cagliari,it Serie A,D 1-1,1,1,0,68,1,0,0,0,44,36,1,1,3,2,1,Match Report
67,Paris S-G,2025-01-12,44,,Saint-Étienne,fr Ligue 1,W 2-1,2,1,+1,59,1,1,1,0,44,37,2,2,2,0,1,Match Report
68,Parma,2024-09-21,44,@,Lecce,it Serie A,D 2-2,2,2,0,61,2,0,0,0,44,28,6,3,3,4,0,Match Report
69,Fulham,2025-02-15,44,,Nott'ham Forest,eng Premier League,W 2-1,2,1,+1,55,2,0,0,0,44,30,4,3,6,1,0,Match Report
70,Bayern Munich,2024-09-21,43,@,Werder Bremen,de Bundesliga,W 5-0,5,0,+5,69,5,0,0,0,43,34,1,6,1,1,0,Match Report
71,Barcelona,2024-08-27,43,@,Rayo Vallecano,es La Liga,W 2-1,2,1,+1,64,2,0,0,0,43,36,2,3,1,1,0,Match Report
